Carimbo de data/hora,genero,idade,vínculo,freq_internet,uso_internet,freq_shop_online,imagens_texto,top_compras,"Se uma negociação for possível, Eu desejo negociar com um vendedor para obter descontos. ","Se eu não tenho informações sobre o produto, é importante ter um contato físico com o produto para conhecê-lo.","Tempo é uma questão importante, Eu desejo realizar a compra o mais rápido possível.",Eu sempre prefiro pagar com cartão de crédito ao invés de boleto.,As vezes eu compro um produto recém lançado ou interessante apenas por curiosidade.,É muito arriscado dar o número do cartão de crédito pela internet.,Informação detalhada sobre o produto é importante.,Eu prefiro imagens do que texto para informações sobre o produto.,"Quando compro online, um site organizado que minimiza o tempo de compra terá minha preferência.","Quando compro online, a segurança das transações precisam ser enfatizadas","Quando compro online, encontrar a informação rapidamente é mais importante.","Quando compro online, saber que a informação disponibilizada pelo site é verdadeira é mais importante.","Quando compro online, o mais importante é que o site ofereça uma ferramenta de comparação de preços e produtos.","Quando compro online, o mecanismo de carrinho de compras é o mais importante para mim.","Quando compro online, eu prefiro um site organizado por marcas do que por tipo de produto","Quando compro online, ter acesso a opiniões e experiências de outros usuários sobre um produto que eu não conheço é importante.","Quando compro online, um mecanismo de busca bem bem projetado é o mais importante para mim.","Quando compro online, eu prefiro lojas com uma grande diversidade de produtos do que lojas especializadas.","Quando compro online, é importante que a loja mantenha minhas informações pessoais em segredo.","Quando compro online, eu hesito em fornecer os dados do meu cartão de crédito.","Se você nunca fez compras online, qual o motivo?"
18/06/2020 14:18:47,Masculino,18 - 25,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,"Entretenimento (jogos, serviços de filme, música, esporte)",6,6,6,3,1,7,7,5,5,7,6,7,6,5,2,6,6,3,7,7,
18/06/2020 18:48:14,Feminino,26 - 33,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Produtos doméstico,7,5,3,4,2,5,7,4,4,7,5,6,5,4,4,6,5,4,7,1,
18/06/2020 20:41:17,Masculino,18 - 25,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,"Entretenimento (jogos, serviços de filme, música, esporte)",7,5,2,7,1,4,7,5,7,7,7,6,5,3,5,7,6,7,7,3,
18/06/2020 22:53:35,Masculino,26 - 33,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Um quantidade igual de imagem e texto,Comida,7,1,7,7,1,5,7,5,7,7,7,7,3,6,2,7,7,5,7,6,
19/06/2020 09:18:31,Feminino,26 - 33,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Comida,7,5,6,3,1,3,7,3,7,7,6,7,5,5,4,7,5,5,7,5,
19/06/2020 11:53:40,Feminino,18 - 25,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,"Entretenimento (jogos, serviços de filme, música, esporte)",7,7,4,4,3,5,7,4,6,7,6,6,6,4,3,6,6,4,6,5,
19/06/2020 12:25:15,Masculino,18 - 25,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Eletrônicos,7,7,5,3,2,5,7,5,6,7,7,7,5,6,5,7,7,4,7,5,
19/06/2020 12:36:27,Masculino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",Até 1 vez a cada 6 meses,Mais imagens que texto,Eletrônicos,7,5,7,6,1,2,7,4,6,7,5,7,4,2,1,4,5,2,7,2,
19/06/2020 13:52:24,Masculino,42 - 50,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo",5 ou mais vezes a cada 6 meses,Mais imagens que texto,Eletrônicos,7,7,7,4,1,7,7,7,7,7,7,7,4,5,7,5,5,5,7,5,
19/06/2020 14:44:48,Masculino,34 - 41,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Mais imagens que texto,Eletrônicos,5,4,6,6,2,4,6,5,6,6,6,6,6,5,3,7,6,4,5,5,
19/06/2020 16:17:30,Masculino,18 - 25,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Mais imagens que texto,Eletrônicos,4,4,5,7,4,6,7,3,6,7,6,7,7,4,3,7,7,4,7,5,
19/06/2020 17:24:49,Masculino,18 - 25,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Mais imagens que texto,"Entretenimento (jogos, serviços de filme, música, esporte)",6,6,6,7,4,2,7,3,7,7,7,6,1,1,4,7,5,7,7,1,
19/06/2020 19:56:28,Masculino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Eletrônicos,7,4,7,4,1,1,7,4,7,7,7,7,4,4,4,7,7,4,7,1,
19/06/2020 21:59:46,Feminino,34 - 41,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Mais imagens que texto,Comida,5,5,7,7,5,3,7,3,7,7,7,7,5,5,3,7,7,7,7,4,
22/06/2020 11:02:36,Masculino,18 - 25,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Um quantidade igual de imagem e texto,Eletrônicos,4,1,7,7,5,1,7,4,3,7,7,7,3,4,2,7,6,4,7,2,
22/06/2020 16:52:15,Masculino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Um quantidade igual de imagem e texto,Eletrônicos,7,7,5,6,2,6,7,4,4,7,6,6,4,3,5,6,5,4,7,6,
22/06/2020 17:12:25,Masculino,18 - 25,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,"Entretenimento (jogos, serviços de filme, música, esporte)",3,1,6,7,4,2,7,4,7,7,6,7,7,4,2,7,5,3,7,3,
22/06/2020 18:03:15,Masculino,26 - 33,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Mais imagens que texto,Eletrônicos,7,4,5,3,2,5,7,4,6,7,7,7,5,5,3,7,6,4,7,2,
22/06/2020 23:51:57,Masculino,26 - 33,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,"Entretenimento (jogos, serviços de filme, música, esporte)",7,6,5,5,1,2,7,5,7,7,6,7,2,1,2,7,7,4,7,2,
22/06/2020 23:56:35,Feminino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Mais imagens que texto,Roupa,7,6,4,7,5,4,7,5,4,6,5,6,5,4,6,7,7,3,7,2,
23/06/2020 00:02:58,Feminino,26 - 33,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Eletrônicos,4,7,6,5,4,5,7,3,7,7,6,7,4,4,4,7,7,6,7,4,
23/06/2020 00:18:34,Feminino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Um quantidade igual de imagem e texto,Produtos doméstico,3,7,7,6,3,3,7,5,7,7,7,7,5,4,1,7,7,5,7,3,
23/06/2020 00:38:45,Masculino,18 - 25,Sem vínculo,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Um quantidade igual de imagem e texto,Outro,4,5,3,1,3,6,7,5,7,7,6,7,5,4,4,6,6,3,7,6,
23/06/2020 07:33:43,Masculino,18 - 25,Estudante e trabalho (tempo parcial),Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",2-4 vezes a cada 6 meses,Mais imagens que texto,Outro,5,5,6,6,4,6,7,3,4,7,6,6,6,4,3,6,6,5,6,5,
23/06/2020 14:12:31,Feminino,26 - 33,Estudante em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo",Até 1 vez a cada 6 meses,Mais imagens que texto,Comida,7,7,7,4,3,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,
23/06/2020 15:50:59,Masculino,26 - 33,Trabalho em tempo integral ou tempo parcial,Diariamente,"Notícias, Redes Sociais, Compras, Comunicação, Estudo, Entretenimento",5 ou mais vezes a cada 6 meses,Um quantidade igual de imagem e texto,Produtos doméstico,7,4,7,7,3,6,7,4,7,7,7,7,5,4,4,7,6,5,7,3,
